Cant1,Canterbury Bus Station,University of Kent
Ro2,Herne Bay,Canterbury Bus Station
Ro2,Herne Bay,Whitstable
Uni1,Darwin College,Canterbury Bus Station
Cant1,University of Kent,Canterbury West
 Cant1,Canterbury East,Canterbury Bus Station
 MB4,St Martin's Church,Canterbury Cathedral
MB4,Canterbury Cathedral,The Canterbury Tales
ZC1,Whitstable Beach,Herne Bay Memorial Park
Cant1,Canterbury East,University of Kent
Cant1,University of Kent,Canterbury Bus Station
Uni1,Canterbury Bus Station,Keynes College
Cant1,Canterbury Bus Station,University of Kent
ZC1,Wildwood Trust,The Marlowe Theatre
ZC1,St Martin's Church,The Old Neptune
Cant1,Canterbury East,University of Kent
Ro2,Canterbury Bus Station,Whitstable
Ro2,University of Kent,Canterbury Bus Station
MB4,The Old Neptune,Whitstable Town Centre
Uni1,Canterbury Bus Station,Darwin College
Ro2,Canterbury Bus Station,Herne Bay
Cant1,University of Kent,Canterbury Bus Station
KA3,Whitstable Beach,Herne Bay Museum and Gallery
Ro2,Herne Bay,Canterbury Bus Station
Ro2,Herne Bay,Canterbury Bus Station
Ro2,Canterbury Bus Station,Whitstable
Uni1,Rutherford College,Eliot College
MB4,St Augustine's Abbey,Strode Park Foundation
Ro2,Whitstable,Canterbury Bus Station
Uni1,Keynes College,Darwin College
Uni1,Darwin College,Rutherford College
Ro2,Whitstable,Canterbury Bus Station
Ro2,Whitstable,Herne Bay
Ro2,Whitstable,Herne Bay
UR2,Whitstable Castle & Gardens,Canterbury Cathedral
KA3,The Marlowe Theatre,The Old Neptune
Ro2,Herne Bay,Canterbury Bus Station
Uni1,Eliot College,Darwin College
KA3,Herne Bay East Beach,Herne Bay Memorial Park
ZC1,St Martin's Church,St Augustine's Abbey
MB4,Herne Bay Mini Golf,Herne Bay East Beach
Uni1,Darwin College,Eliot College
Cant1,Canterbury West,University of Kent
KA3,Howletts Wild Animal Park,Horsebridge Arts and Community Centre
MB4,Canterbury Roman Museum,The Marlowe Theatre
Uni1,Eliot College,Darwin College
MB4,The Marlowe Theatre,Canterbury Norman Castle
Ro2,Whitstable,University of Kent
Ro2,Herne Bay,Canterbury Bus Station
Uni1,Darwin College,Canterbury Bus Station
Uni1,Keynes College,Darwin College
Ro2,Canterbury Bus Station,Whitstable
KA3,Whitstable Town Centre,Whitstable Castle & Gardens
MB4,Whitstable Town Centre,Whitstable Beach
UR2,The Marlowe Theatre,Whitstable Beach
Cant1,University of Kent,Canterbury Bus Station
Uni1,Canterbury Bus Station,Keynes College
Ro2,University of Kent,Whitstable
Ro2,Whitstable,Canterbury Bus Station
Cant1,Canterbury West,University of Kent
Uni1,Canterbury Bus Station,Eliot College
Cant1,Canterbury Bus Station,University of Kent
MB4,Horsebridge Arts and Community Centre,Westgate Gardens
Cant1,University of Kent,Canterbury East
KA3,Herne Bay Museum and Gallery,Whitstable Harbour
Uni1,Rutherford College,Darwin College
Uni1,Keynes College,Rutherford College
Cant1,Canterbury West,Canterbury East
Ro2,Canterbury Bus Station,Whitstable
Ro2,Whitstable,Herne Bay
MB4,Herne Bay Pier,The Marlowe Theatre
Cant1,Canterbury Bus Station,University of Kent
Ro2,Whitstable,Canterbury Bus Station
Uni1,Keynes College,Darwin College
Uni1,Rutherford College,Eliot College
Ro2,Canterbury Bus Station,Herne Bay
Cant1,Canterbury East,Canterbury Bus Station
Cant1,University of Kent,Canterbury East
Ro2,Canterbury Bus Station,Herne Bay
Ro2,Herne Bay,Canterbury Bus Station
KA3,Reculver Towers and Roman Fort,Whitstable Castle & Gardens
Uni1,Keynes College,Canterbury Bus Station
KA3,Wildwood Trust,Whitstable Museum and Gallery
MB4,Howletts Wild Animal Park,Saxon Shore Way
Ro2,Canterbury Bus Station,Whitstable
MB4,Horsebridge Arts and Community Centre,Strode Park Foundation
UR2,Herne Bay Memorial Park,Neptune's Arm
MB4,Whitstable Museum and Gallery,Neptune's Arm
Uni1,Darwin College,Keynes College
Uni1,Eliot College,Keynes College
MB4,Saxon Shore Way,The Kings Hall
UR2,The Kings Hall,Canterbury Cathedral
Uni1,Eliot College,Darwin College
Uni1,Darwin College,Keynes College
Ro2,Canterbury Bus Station,University of Kent
Uni1,Rutherford College,Keynes College
Ro2,Whitstable,Canterbury Bus Station
Uni1,Rutherford College,Keynes College
Cant1,Canterbury Bus Station,Canterbury East
Cant1,Canterbury Bus Station,Canterbury East
KA3,The Old Neptune,Herne Bay East Beach
UR2,Herne Bay Pier,Strode Park Foundation
Uni1,Keynes College,Canterbury Bus Station
